
                  X               _temp_2     

                0.                10.7302E-03 
              141.422E-03         10.7988E-03 
              282.842E-03         10.8673E-03 
              989.949E-03         11.2185E-03 
                1.69706           11.597E-03  
                2.40416           12.0178E-03 
                3.11127           12.5027E-03 
                3.81838           13.0784E-03 
                4.52548           13.7716E-03 
                5.23259           14.5994E-03 
                5.26087           14.6351E-03 
                5.9397            15.5558E-03 
                5.99626           15.6368E-03 
                6.6468            16.6131E-03 
                6.73166           16.744E-03  
                7.35391           17.7232E-03 
                7.46705           17.9006E-03 
                8.06102           18.8193E-03 
                8.20244           19.028E-03  
                8.76813           19.8111E-03 
                8.93783           20.0199E-03 
                9.47523           20.5829E-03 
                9.67322           20.7377E-03 
               10.1823            20.9812E-03 
               10.4086            20.9947E-03 
               10.8894            20.7984E-03 
               11.144             20.5236E-03 
               11.5966            19.616E-03  
               11.8794            18.7067E-03 
               12.2722            16.8942E-03 
               12.6042            15.0812E-03 
               12.9479            13.0532E-03 
               13.329             10.9202E-03 
               13.6236             9.43703E-03
               14.0537             7.49016E-03
               14.2993             6.50557E-03
               14.7785             4.7881E-03 
               14.975              4.17343E-03
               15.5033             2.69824E-03
               15.6506             2.34325E-03
               16.2281             1.19768E-03
               16.3263             1.04835E-03
               16.9529           303.879E-06  
               17.002            264.17E-06   
               17.6777             0.         




