
                  X               _temp_2     

                0.                13.1772E-03 
              141.422E-03         13.1989E-03 
              282.842E-03         13.2205E-03 
              989.949E-03         13.337E-03  
                1.69706           13.4827E-03 
                2.40416           13.6752E-03 
                3.11127           13.9385E-03 
                3.81838           14.2998E-03 
                4.52548           14.7877E-03 
                5.23259           15.4223E-03 
                5.26087           15.4506E-03 
                5.9397            16.2007E-03 
                5.99626           16.268E-03  
                6.6468            17.0957E-03 
                6.73166           17.2081E-03 
                7.35391           18.0601E-03 
                7.46705           18.2158E-03 
                8.06102           19.0279E-03 
                8.20244           19.2132E-03 
                8.76813           19.9099E-03 
                8.93783           20.0952E-03 
                9.47523           20.5913E-03 
                9.67322           20.7247E-03 
               10.1823            20.9204E-03 
               10.4086            20.9169E-03 
               10.8894            20.6915E-03 
               11.144             20.4077E-03 
               11.5966            19.503E-03  
               11.8794            18.6115E-03 
               12.2722            16.8437E-03 
               12.6042            15.0743E-03 
               12.9479            13.0933E-03 
               13.329             10.9852E-03 
               13.6236             9.50091E-03
               14.0537             7.5512E-03 
               14.2993             6.56633E-03
               14.7785             4.83591E-03
               14.975              4.21128E-03
               15.5033             2.72496E-03
               15.6506             2.37101E-03
               16.2281             1.21338E-03
               16.3263             1.05954E-03
               16.9529           307.401E-06  
               17.002            268.626E-06  
               17.6777             0.         




