
                  X               _temp_1     

                0.                22.6327E-03 
              141.422E-03         22.5865E-03 
              282.842E-03         22.5404E-03 
              989.949E-03         22.3237E-03 
                1.69706           22.161E-03  
                2.40416           22.0879E-03 
                3.11127           22.1477E-03 
                3.81838           22.3848E-03 
                4.52548           22.8492E-03 
                5.23259           23.5795E-03 
                5.26087           23.614E-03  
                5.9397            24.5775E-03 
                5.99626           24.6669E-03 
                6.6468            25.8004E-03 
                6.73166           25.9579E-03 
                7.35391           27.1753E-03 
                7.46705           27.4012E-03 
                8.06102           28.5976E-03 
                8.20244           28.8741E-03 
                8.76813           29.928E-03  
                8.93783           30.2119E-03 
                9.47523           30.9848E-03 
                9.67322           31.198E-03  
               10.1823            31.5295E-03 
               10.4086            31.5419E-03 
               10.8894            31.2375E-03 
               11.144             30.8269E-03 
               11.5966            29.4915E-03 
               11.8794            28.1657E-03 
               12.2722            25.5213E-03 
               12.6042            22.8691E-03 
               12.9479            19.8994E-03 
               13.329             16.7168E-03 
               13.6236            14.4606E-03 
               14.0537            11.5001E-03 
               14.2993            10.0078E-03 
               14.7785             7.37283E-03
               14.975              6.41568E-03
               15.5033             4.15266E-03
               15.6506             3.61793E-03
               16.2281             1.8527E-03 
               16.3263             1.61498E-03
               16.9529           468.642E-06  
               17.002            411.028E-06  
               17.6777             0.         




