
                  X               _temp_1     

                0.                15.0128E-03 
              141.422E-03         15.0307E-03 
              282.842E-03         15.0486E-03 
              989.949E-03         15.1497E-03 
                1.69706           15.2916E-03 
                2.40416           15.4997E-03 
                3.11127           15.8069E-03 
                3.81838           16.25E-03   
                4.52548           16.8686E-03 
                5.23259           17.6917E-03 
                5.26087           17.7287E-03 
                5.9397            18.7181E-03 
                5.99626           18.8075E-03 
                6.6468            19.9135E-03 
                6.73166           20.0647E-03 
                7.35391           21.2174E-03 
                7.46705           21.4295E-03 
                8.06102           22.5441E-03 
                8.20244           22.801E-03  
                8.76813           23.7781E-03 
                8.93783           24.0428E-03 
                9.47523           24.7696E-03 
                9.67322           24.976E-03  
               10.1823            25.3212E-03 
               10.4086            25.3602E-03 
               10.8894            25.1646E-03 
               11.144             24.8503E-03 
               11.5966            23.773E-03  
               11.8794            22.6786E-03 
               12.2722            20.4752E-03 
               12.6042            18.2687E-03 
               12.9479            15.8043E-03 
               13.329             13.2014E-03 
               13.6236            11.3858E-03 
               14.0537             9.01429E-03
               14.2993             7.82388E-03
               14.7785             5.74259E-03
               14.975              4.99584E-03
               15.5033             3.22159E-03
               15.6506             2.80005E-03
               16.2281             1.42862E-03
               16.3263             1.24776E-03
               16.9529           361.038E-06  
               17.002            315.231E-06  
               17.6777             0.         




