
                  X               _temp_2     

                0.                 4.41657E-03
              141.422E-03          4.53203E-03
              282.842E-03          4.64735E-03
              989.949E-03          5.22965E-03
                1.69706            5.82364E-03
                2.40416            6.43298E-03
                3.11127            7.06762E-03
                3.81838            7.74517E-03
                4.52548            8.48035E-03
                5.23259            9.28026E-03
                5.26087            9.31341E-03
                5.9397            10.1368E-03 
                5.99626           10.2071E-03 
                6.6468            11.0324E-03 
                6.73166           11.1407E-03 
                7.35391           11.935E-03  
                7.46705           12.0769E-03 
                8.06102           12.8009E-03 
                8.20244           12.9639E-03 
                8.76813           13.5695E-03 
                8.93783           13.7306E-03 
                9.47523           14.1642E-03 
                9.67322           14.2853E-03 
               10.1823            14.4829E-03 
               10.4086            14.5036E-03 
               10.8894            14.388E-03  
               11.144             14.2098E-03 
               11.5966            13.6098E-03 
               11.8794            13.0064E-03 
               12.2722            11.7973E-03 
               12.6042            10.5695E-03 
               12.9479             9.17496E-03
               13.329              7.68804E-03
               13.6236             6.64169E-03
               14.0537             5.26415E-03
               14.2993             4.56812E-03
               14.7785             3.35639E-03
               14.975              2.92372E-03
               15.5033             1.88874E-03
               15.6506             1.64072E-03
               16.2281           838.303E-06  
               16.3263           733.387E-06  
               16.9529           212.502E-06  
               17.002            184.985E-06  
               17.6777             0.         




