
                  X               _temp_1     

                0.                10.123E-03  
              141.422E-03         10.2201E-03 
              282.842E-03         10.3171E-03 
              989.949E-03         10.8104E-03 
                1.69706           11.3294E-03 
                2.40416           11.8879E-03 
                3.11127           12.5047E-03 
                3.81838           13.2023E-03 
                4.52548           14.0016E-03 
                5.23259           14.9141E-03 
                5.26087           14.9527E-03 
                5.9397            15.9307E-03 
                5.99626           16.0154E-03 
                6.6468            17.0228E-03 
                6.73166           17.1562E-03 
                7.35391           18.1433E-03 
                7.46705           18.3203E-03 
                8.06102           19.2276E-03 
                8.20244           19.4319E-03 
                8.76813           20.1898E-03 
                8.93783           20.3895E-03 
                9.47523           20.9191E-03 
                9.67322           21.061E-03  
               10.1823            21.2695E-03 
               10.4086            21.2686E-03 
               10.8894            21.0431E-03 
               11.144             20.7584E-03 
               11.5966            19.8541E-03 
               11.8794            18.9652E-03 
               12.2722            17.2016E-03 
               12.6042            15.4274E-03 
               12.9479            13.4281E-03 
               13.329             11.2862E-03 
               13.6236             9.76769E-03
               14.0537             7.76707E-03
               14.2993             6.75483E-03
               14.7785             4.97529E-03
               14.975              4.33283E-03
               15.5033             2.80474E-03
               15.6506             2.4411E-03 
               16.2281             1.24987E-03
               16.3263             1.09125E-03
               16.9529           316.707E-06  
               17.002            276.89E-06   
               17.6777             0.         




