
                  X               _temp_1     

                0.                21.5605E-03 
              141.422E-03         21.5404E-03 
              282.842E-03         21.5203E-03 
              989.949E-03         21.4336E-03 
                1.69706           21.3987E-03 
                2.40416           21.449E-03  
                3.11127           21.6253E-03 
                3.81838           21.9694E-03 
                4.52548           22.5273E-03 
                5.23259           23.3325E-03 
                5.26087           23.3696E-03 
                5.9397            24.3832E-03 
                5.99626           24.4759E-03 
                6.6468            25.6361E-03 
                6.73166           25.7958E-03 
                7.35391           27.0191E-03 
                7.46705           27.2446E-03 
                8.06102           28.4296E-03 
                8.20244           28.7019E-03 
                8.76813           29.7315E-03 
                8.93783           30.007E-03  
                9.47523           30.7478E-03 
                9.67322           30.9487E-03 
               10.1823            31.2462E-03 
               10.4086            31.2442E-03 
               10.8894            30.9106E-03 
               11.144             30.4876E-03 
               11.5966            29.1348E-03 
               11.8794            27.8023E-03 
               12.2722            25.1539E-03 
               12.6042            22.5041E-03 
               12.9479            19.5398E-03 
               13.329             16.3742E-03 
               13.6236            14.1389E-03 
               14.0537            11.2118E-03 
               14.2993             9.74115E-03
               14.7785             7.15564E-03
               14.975              6.22197E-03
               15.5033             4.01641E-03
               15.6506             3.4961E-03 
               16.2281             1.78616E-03
               16.3263             1.55739E-03
               16.9529           451.059E-06  
               17.002            395.298E-06  
               17.6777             0.         




