
                  X               _temp_2     

                0.                14.6974E-03 
              141.422E-03         14.7283E-03 
              282.842E-03         14.7592E-03 
              989.949E-03         14.9254E-03 
                1.69706           15.1327E-03 
                2.40416           15.4056E-03 
                3.11127           15.7776E-03 
                3.81838           16.2871E-03 
                4.52548           16.9756E-03 
                5.23259           17.8731E-03 
                5.26087           17.9132E-03 
                5.9397            18.9782E-03 
                5.99626           19.074E-03  
                6.6468            20.2553E-03 
                6.73166           20.4164E-03 
                7.35391           21.6418E-03 
                7.46705           21.8669E-03 
                8.06102           23.0484E-03 
                8.20244           23.3205E-03 
                8.76813           24.3546E-03 
                8.93783           24.6346E-03 
                9.47523           25.4039E-03 
                9.67322           25.6225E-03 
               10.1823            25.9894E-03 
               10.4086            26.0322E-03 
               10.8894            25.8294E-03 
               11.144             25.4993E-03 
               11.5966            24.3677E-03 
               11.8794            23.2216E-03 
               12.2722            20.926E-03  
               12.6042            18.6525E-03 
               12.9479            16.1453E-03 
               13.329             13.5051E-03 
               13.6236            11.6662E-03 
               14.0537             9.26704E-03
               14.2993             8.06076E-03
               14.7785             5.935E-03  
               14.975              5.16478E-03
               15.5033             3.33859E-03
               15.6506             2.9056E-03 
               16.2281             1.48559E-03
               16.3263             1.29611E-03
               16.9529           375.804E-06  
               17.002            328.906E-06  
               17.6777             0.         




