
                  X               _temp_1     

                0.                14.4269E-03 
              141.422E-03         14.4093E-03 
              282.842E-03         14.3918E-03 
              989.949E-03         14.3159E-03 
                1.69706           14.2855E-03 
                2.40416           14.3308E-03 
                3.11127           14.4889E-03 
                3.81838           14.7994E-03 
                4.52548           15.3072E-03 
                5.23259           16.0483E-03 
                5.26087           16.0826E-03 
                5.9397            17.0269E-03 
                5.99626           17.1139E-03 
                6.6468            18.2093E-03 
                6.73166           18.3612E-03 
                7.35391           19.5345E-03 
                7.46705           19.7528E-03 
                8.06102           20.9142E-03 
                8.20244           21.1851E-03 
                8.76813           22.2297E-03 
                8.93783           22.5173E-03 
                9.47523           23.3254E-03 
                9.67322           23.5639E-03 
               10.1823            23.9965E-03 
               10.4086            24.0752E-03 
               10.8894            23.9626E-03 
               11.144             23.69E-03   
               11.5966            22.6787E-03 
               11.8794            21.6264E-03 
               12.2722            19.4936E-03 
               12.6042            17.365E-03  
               12.9479            15.007E-03  
               13.329             12.5315E-03 
               13.6236            10.8164E-03 
               14.0537             8.58193E-03
               14.2993             7.45966E-03
               14.7785             5.49075E-03
               14.975              4.78005E-03
               15.5033             3.08912E-03
               15.6506             2.68635E-03
               16.2281             1.37291E-03
               16.3263             1.19899E-03
               16.9529           347.446E-06  
               17.002            303.42E-06   
               17.6777             0.         




